Ticker,Start,End,Return [%],CAGR [%],Sharpe Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Expectancy [%],Profit Factor
SPY,2023-05-22 13:30:00+00:00,2025-05-16 20:00:00+00:00,67.73995635986329,19.68821794746509,2.7294406196552488,-4.945299769508371,94.73684210526315,19,2.8578648860709857,142.35656645173384
META,2023-05-22 13:30:00+00:00,2025-05-16 19:00:00+00:00,249.89300964355468,54.52709955644765,2.88463560837655,-5.686039320442449,90.0,30,4.420116135694884,102.51851689793097
AAPL,2023-05-22 13:30:00+00:00,2025-05-16 19:00:00+00:00,158.23275558471673,39.04782571201768,2.804305548068918,-1.8901080394600145,100.0,27,3.680505725009639,
