Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-06 13:30:00+00:00	2025-06-02 20:00:00+00:00	76.05367675781251	33.06175174417325	2.903862611627679	-5.036386032353168	100.0	24	2.9604180805775417		727 days 06:30:00	2.9264749640800503	40 days 00:00:00	5 days 00:00:00
META	2023-06-06 13:30:00+00:00	2025-06-02 19:00:00+00:00	274.33926849365236	94.76224176766249	2.9433412725051964	-5.714780515230933	96.7741935483871	35	4.524984014143017	368.82999573048335	727 days 05:30:00	4.412883558138159	11 days 21:00:00	2 days 20:00:00
AAPL	2023-06-06 13:30:00+00:00	2025-06-02 19:00:00+00:00	179.9511555480955	68.18258497959437	2.981177324924056	-1.9049964138272868	100.0	34	3.8432036504393863		727 days 05:30:00	3.7642288099793086	35 days 22:00:00	4 days 23:00:00
