Ticker,EntryTime,ExitTime,Return [%],CAGR [%],Sharpe Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Expectancy [%],Profit Factor,Duration,EntryPrice,ExitPrice
AAPL,2023-07-11 19:30:00+00:00,2025-05-22 19:00:00+00:00,130.52100363280024,56.485667553721775,2.6436595224760633,-2.0059974443734863,100.0,27,3.664023370710174,,680 days 23:30:00,187.1300048828125,0.0
META,2023-07-25 14:30:00+00:00,2025-05-22 19:00:00+00:00,207.54845595703125,85.05114277905412,2.8073079090340483,-5.619985035153851,90.0,30,4.409540024517229,98.22074913827703,667 days 04:30:00,292.4393005371094,599.760009765625
SPY,2023-06-27 13:30:00+00:00,2025-05-22 20:00:00+00:00,55.8702068365479,26.302488802888767,2.4835927761520913,-4.912700566349725,95.0,20,2.73594146243594,143.44837227511937,695 days 06:30:00,432.6199951171875,548.3499755859375
