,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(isBreakOu…),Exit_λ(isBreakOu…)
0,34,320,376,292.4393005371094,324.17999267578125,,,1079.1835327148438,0.10853771049368288,2023-07-25 14:30:00+00:00,2023-07-28 19:30:00+00:00,3 days 05:00:00,,0.0,0.0
1,35,485,503,313.2300109863281,315.510009765625,,,79.79995727539062,0.0072789921122735635,2023-08-07 13:30:00+00:00,2023-08-07 19:30:00+00:00,0 days 06:00:00,,0.0,0.0
2,36,572,578,304.29998779296875,306.1400146484375,,,66.240966796875,0.006046752971678115,2023-08-14 17:30:00+00:00,2023-08-15 13:30:00+00:00,0 days 20:00:00,,0.0,0.0
3,37,843,921,297.4200134277344,307.3800048828125,,,368.5196838378906,0.033487966530195035,2023-09-21 16:30:00+00:00,2023-09-29 13:30:00+00:00,7 days 21:00:00,,0.0,1.0
4,37,1145,1167,309.489990234375,316.7799987792969,,,269.7303161621094,0.0235549089629723,2023-10-20 16:30:00+00:00,2023-10-24 13:30:00+00:00,3 days 21:00:00,,0.0,0.0
5,40,1206,1226,292.760009765625,303.82000732421875,,,442.39990234375,0.037778375425824295,2023-10-26 19:30:00+00:00,2023-10-30 15:30:00+00:00,3 days 20:00:00,,0.0,0.0
6,38,1426,1456,317.79998779296875,329.3999938964844,,,440.80023193359375,0.03650096459749541,2023-12-04 19:30:00+00:00,2023-12-11 14:30:00+00:00,6 days 19:00:00,,0.0,0.0
7,25,1932,1978,492.2000122070313,508.5899963378906,,,409.74960327148295,0.03329943869234464,2024-03-18 13:30:00+00:00,2024-03-21 15:30:00+00:00,3 days 02:00:00,,0.0,0.0
8,26,2065,2115,490.3399963378906,525.469970703125,,,913.3793334960938,0.07164411352857813,2024-04-01 17:30:00+00:00,2024-04-05 15:30:00+00:00,3 days 22:00:00,,0.0,0.0
9,28,2260,2262,499.7999877929688,506.8299865722656,,,196.8399658203109,0.014065624151653244,2024-04-18 13:30:00+00:00,2024-04-18 14:30:00+00:00,0 days 01:00:00,,0.0,0.0
10,32,2341,2357,442.9800109863281,439.5,,,-111.3603515625,-0.007855909747664702,2024-04-25 19:30:00+00:00,2024-04-29 13:30:00+00:00,3 days 18:00:00,,0.0,0.0
11,29,2521,2534,475.3218994140625,474.6600036621094,,,-19.194976806640625,-0.001392521053141138,2024-05-24 14:30:00+00:00,2024-05-29 13:30:00+00:00,4 days 23:00:00,,0.0,0.0
12,28,2673,2694,501.4800109863281,520.5,,,532.5596923828125,0.03792771116891114,2024-06-24 14:30:00+00:00,2024-06-27 14:30:00+00:00,3 days 00:00:00,,0.0,0.0
13,31,2842,2882,466.8900146484375,491.9400024414063,,,776.5496215820331,0.05365286685737147,2024-07-18 15:30:00+00:00,2024-07-23 14:30:00+00:00,4 days 23:00:00,,0.0,0.0
14,33,2961,2979,463.6899108886719,513.1199951171875,,,1631.1927795410156,0.10660159530704849,2024-07-30 19:30:00+00:00,2024-08-01 14:30:00+00:00,1 days 19:00:00,,0.0,0.0
15,33,3192,3196,513.9600219726562,511.7200012207031,,,-73.92068481445312,-0.004358356012507669,2024-09-04 18:30:00+00:00,2024-09-05 13:30:00+00:00,0 days 19:00:00,,0.0,0.0
16,33,3259,3349,506.3399963378906,569.5999755859375,,,2087.579315185547,0.1249357737993746,2024-09-11 17:30:00+00:00,2024-09-23 14:30:00+00:00,11 days 21:00:00,,0.0,0.0
17,33,3561,3583,573.47998046875,580.969970703125,,,247.169677734375,0.013060595817578236,2024-10-21 19:30:00+00:00,2024-10-22 19:30:00+00:00,1 days 00:00:00,,0.0,0.0
18,34,3624,3644,563.9600219726562,573.9550170898438,,,339.829833984375,0.01772287879950496,2024-10-24 15:30:00+00:00,2024-10-25 13:30:00+00:00,0 days 22:00:00,,0.0,0.0
19,34,3851,3918,568.7365112304688,592.3300170898438,,,802.17919921875,0.04148407108298735,2024-11-05 16:30:00+00:00,2024-11-07 19:30:00+00:00,2 days 03:00:00,,0.0,1.0
20,36,4087,4103,558.4849853515625,569.3599853515625,,,391.5,0.019472322954491306,2024-11-19 20:30:00+00:00,2024-11-21 14:30:00+00:00,1 days 18:00:00,,0.0,0.0
21,35,4291,4303,595.614990234375,606.0900268554688,,,366.62628173828125,0.017586925770574968,2024-12-23 16:30:00+00:00,2024-12-24 15:30:00+00:00,0 days 23:00:00,,0.0,0.0
22,35,4397,4445,592.9099731445312,624.8599853515625,,,1118.2504272460938,0.053886784932259735,2025-01-02 18:30:00+00:00,2025-01-06 20:30:00+00:00,4 days 02:00:00,,0.0,0.0
23,36,4534,4540,616.72998046875,620.469970703125,,,134.6396484375,0.006064226408342366,2025-01-15 15:30:00+00:00,2025-01-15 18:30:00+00:00,0 days 03:00:00,,0.0,0.0
24,34,4800,4815,655.7100219726562,677.5700073242188,,,743.239501953125,0.03333788506968105,2025-02-25 18:30:00+00:00,2025-02-26 16:30:00+00:00,0 days 22:00:00,,0.0,0.0
25,36,4909,4937,642.094970703125,656.2999877929688,,,511.380615234375,0.02212292221240819,2025-03-04 19:30:00+00:00,2025-03-05 19:30:00+00:00,1 days 00:00:00,,0.0,0.0
26,40,5022,5057,592.6799926757812,629.1599731445312,,,1459.19921875,0.06155088904562689,2025-03-10 18:30:00+00:00,2025-03-12 13:30:00+00:00,1 days 19:00:00,,0.0,0.0
27,43,5196,5205,580.6900024414062,604.8099975585938,,,1037.1597900390625,0.04153678385331139,2025-03-19 18:30:00+00:00,2025-03-20 14:30:00+00:00,0 days 20:00:00,,0.0,0.0
28,46,5396,5456,564.3900146484375,588.8900146484375,,,1127.0,0.04340969784035109,2025-03-31 15:30:00+00:00,2025-04-02 16:30:00+00:00,2 days 01:00:00,,0.0,0.0
29,53,5550,5606,513.1950073242188,581.6900024414062,,,3630.2347412109375,0.13346777373053187,2025-04-07 19:30:00+00:00,2025-04-09 19:30:00+00:00,2 days 00:00:00,,0.0,1.0
30,64,5766,5864,483.5299987792969,601.989990234375,,,7581.439453125,0.24498995254511224,2025-04-21 17:30:00+00:00,2025-05-02 18:30:00+00:00,11 days 01:00:00,,0.0,0.0
