,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(isBreakOu…),Exit_λ(isBreakOu…)
0,56,341,392,178.36500549316406,179.02999877929688,,,37.2396240234375,0.0037282721702844857,2023-08-07 16:30:00+00:00,2023-08-09 19:30:00+00:00,2 days 03:00:00,,,1.0
1,56,425,453,177.55999755859375,179.10000610351562,,,86.240478515625,0.00867317282099922,2023-08-11 16:30:00+00:00,2023-08-14 18:30:00+00:00,3 days 02:00:00,,,
2,57,756,757,175.38999938964844,175.38999938964844,,,0.0,0.0,2023-09-14 15:30:00+00:00,2023-09-14 15:30:00+00:00,0 days 00:00:00,,1.0,
3,58,787,825,174.24000549316406,178.5800018310547,,,251.71978759765625,0.02490815083256459,2023-09-15 18:30:00+00:00,2023-09-19 17:30:00+00:00,3 days 23:00:00,,,
4,61,965,995,169.13999938964844,173.35000610351562,,,256.81040954589844,0.02489066293637965,2023-09-28 14:30:00+00:00,2023-10-02 14:30:00+00:00,4 days 00:00:00,,,
5,61,1184,1207,171.58999633789062,172.75,,,70.76022338867188,0.006760322203312574,2023-10-23 13:30:00+00:00,2023-10-24 18:30:00+00:00,1 days 05:00:00,,,
6,64,1235,1508,167.1699981689453,190.0599975585937,,,1464.9599609374964,0.136926479872993,2023-10-26 18:30:00+00:00,2023-12-01 15:30:00+00:00,35 days 21:00:00,,,
7,64,1531,1537,189.06500244140625,193.5599975585937,,,287.67968749999636,0.023774866099718794,2023-12-04 20:30:00+00:00,2023-12-05 16:30:00+00:00,0 days 20:00:00,,,
8,64,1739,1743,192.4750061035156,194.13999938964844,,,106.55957031250182,0.008650438931470328,2023-12-27 17:30:00+00:00,2023-12-28 14:30:00+00:00,0 days 21:00:00,,,
9,67,1889,1908,187.009994506836,190.63999938964844,,,243.2103271484337,0.01941075337917164,2024-02-02 16:30:00+00:00,2024-02-07 14:30:00+00:00,4 days 22:00:00,,,
10,75,2041,2051,169.1699981689453,172.23500061035156,,,229.87518310546875,0.01811788422640581,2024-03-07 17:30:00+00:00,2024-03-08 18:30:00+00:00,1 days 01:00:00,,,
11,76,2301,2388,170.52999877929688,172.7550048828125,,,169.1004638671875,0.01304759349934237,2024-03-25 13:30:00+00:00,2024-03-27 18:30:00+00:00,2 days 05:00:00,,,1.0
12,78,2491,2546,168.9199981689453,171.27999877929688,,,184.08004760742188,0.013971114349594194,2024-04-02 18:30:00+00:00,2024-04-04 15:30:00+00:00,1 days 21:00:00,,,
13,79,2639,2765,168.4149932861328,174.74000549316406,,,499.67596435546875,0.037556111149113836,2024-04-08 16:30:00+00:00,2024-04-11 19:30:00+00:00,3 days 03:00:00,,,1.0
14,84,2907,2987,164.89999389648438,174.32769775390625,,,791.9271240234375,0.05717225109990065,2024-04-19 17:30:00+00:00,2024-04-29 16:30:00+00:00,9 days 23:00:00,,,
15,66,3177,3251,220.1999969482422,221.52999877929688,,,87.78012084960938,0.006039972068516031,2024-07-25 16:30:00+00:00,2024-07-31 13:30:00+00:00,5 days 21:00:00,,,
16,71,3336,3456,205.38999938964844,226.3500061035156,,,1488.1604766845683,0.1020497919867247,2024-08-06 13:30:00+00:00,2024-08-16 16:30:00+00:00,10 days 03:00:00,,,
17,72,3549,3560,224.3099975585937,228.83999633789065,,,326.15991210938114,0.02019526025857865,2024-10-08 13:30:00+00:00,2024-10-09 17:30:00+00:00,1 days 04:00:00,,,
18,74,3700,3724,221.1150054931641,227.53500366210932,,,475.0798645019468,0.029034656217140853,2024-11-04 17:30:00+00:00,2024-11-07 20:30:00+00:00,3 days 03:00:00,,,
19,70,3903,3918,242.77999877929688,245.5399932861328,,,193.19961547851562,0.011368294425872172,2025-01-03 17:30:00+00:00,2025-01-06 15:30:00+00:00,2 days 22:00:00,,,
20,74,4006,4040,230.7324981689453,233.27999877929688,,,188.51504516601562,0.011040926746635593,2025-01-13 16:30:00+00:00,2025-01-14 20:30:00+00:00,1 days 04:00:00,,,
21,78,4108,4138,221.7749938964844,224.72999572753903,,,230.4901428222612,0.013324323807371696,2025-01-21 15:30:00+00:00,2025-01-23 14:30:00+00:00,1 days 23:00:00,,,
22,77,4304,4402,228.1999969482422,245.1300048828125,,,1303.610610961914,0.074189343387284,2025-02-11 14:30:00+00:00,2025-02-25 15:30:00+00:00,14 days 01:00:00,,,
23,80,4456,4470,234.5399932861328,239.259994506836,,,377.60009765625455,0.020124504800104193,2025-03-05 17:30:00+00:00,2025-03-07 17:30:00+00:00,2 days 00:00:00,,,
24,112,4629,4641,172.1790008544922,196.0,,,2667.951904296875,0.13835019966017148,2025-04-09 13:30:00+00:00,2025-04-09 19:30:00+00:00,0 days 06:00:00,,,
25,115,4734,4862,191.1199951171875,212.7899932861328,,,2492.049789428711,0.11338425451328682,2025-04-21 16:30:00+00:00,2025-05-01 18:30:00+00:00,10 days 02:00:00,,,
26,126,4909,4938,194.33999633789065,212.4250030517578,,,2278.710845947262,0.09305859346844647,2025-05-07 19:30:00+00:00,2025-05-14 13:30:00+00:00,6 days 18:00:00,,,
